[16:37:51] [INFO] received Windows console close event; shutting log-core down
[13:39:02] [INFO] received Windows console close event; shutting log-core down
[14:04:58] [INFO] received Windows console close event; shutting log-core down
[14:06:56] [INFO] received Windows console close event; shutting log-core down
[14:34:18] [INFO] received Windows console close event; shutting log-core down
[14:40:56] [INFO] received Windows console close event; shutting log-core down
[14:47:08] [INFO] received Windows console close event; shutting log-core down
[17:47:00] [INFO] received Windows console close event; shutting log-core down
[17:49:36] [INFO] received Windows console close event; shutting log-core down
[17:50:09] [INFO] received Windows console close event; shutting log-core down
[19:25:59] [INFO] received Windows console close event; shutting log-core down
[07:10:07] [INFO] received Windows console close event; shutting log-core down
[12:16:21] [INFO] received Windows console close event; shutting log-core down
[15:30:15] [INFO] received Windows console close event; shutting log-core down
[16:01:58] [INFO] received Windows console close event; shutting log-core down
[16:29:59] [INFO] received Windows console close event; shutting log-core down
[17:18:45] [INFO] received Windows console close event; shutting log-core down
[17:18:58] [INFO] received Windows console close event; shutting log-core down
[17:29:04] [INFO] received Windows console close event; shutting log-core down
[13:55:01] [INFO] received Windows console close event; shutting log-core down
[13:55:27] [INFO] received Windows console close event; shutting log-core down
[14:57:01] [INFO] received Windows console close event; shutting log-core down
[14:57:24] [INFO] received Windows console close event; shutting log-core down
[16:11:58] [INFO] received Windows console close event; shutting log-core down
[06:42:27] [INFO] received Windows console close event; shutting log-core down
[06:45:21] [INFO] received Windows console close event; shutting log-core down
[08:50:23] [INFO] received Windows console close event; shutting log-core down
[14:59:39] [INFO] received Windows console close event; shutting log-core down
[20:02:54] [INFO] received Windows console close event; shutting log-core down
[20:04:07] [INFO] received Windows console close event; shutting log-core down
[20:04:12] [INFO] received Windows console close event; shutting log-core down
[20:09:02] [INFO] received Windows console close event; shutting log-core down
[20:43:56] [INFO] received Windows console close event; shutting log-core down
[20:44:55] [INFO] received Windows console close event; shutting log-core down
[20:45:47] [INFO] received Windows console close event; shutting log-core down
[20:48:06] [INFO] received Windows console close event; shutting log-core down
[20:59:08] [INFO] received Windows console close event; shutting log-core down
[21:02:02] [INFO] received Windows console close event; shutting log-core down
[21:16:58] [INFO] received Windows console close event; shutting log-core down
[21:21:40] [INFO] received Windows console close event; shutting log-core down
[21:26:46] [INFO] received Windows console close event; shutting log-core down
[21:28:45] [INFO] received Windows console close event; shutting log-core down
[21:29:09] [INFO] received Windows console close event; shutting log-core down
[03:38:28] [INFO] received Windows console close event; shutting log-core down
[05:17:44] [INFO] received Windows console close event; shutting log-core down
[07:34:48] [INFO] received Windows console close event; shutting log-core down
[07:38:14] [INFO] received Windows console close event; shutting log-core down
[11:31:32] [INFO] received Windows console close event; shutting log-core down
[11:41:12] [INFO] received Windows console close event; shutting log-core down
[07:24:16] [INFO] received Windows console close event; shutting log-core down
[07:25:30] [INFO] received Windows console close event; shutting log-core down
[07:46:03] [INFO] received Windows console close event; shutting log-core down
[08:08:12] [INFO] received Windows console close event; shutting log-core down
[08:57:30] [INFO] received Windows console close event; shutting log-core down
[08:58:43] [INFO] received Windows console close event; shutting log-core down
[09:12:32] [INFO] received Windows console close event; shutting log-core down
[09:15:38] [INFO] received Windows console close event; shutting log-core down
[09:18:29] [INFO] received Windows console close event; shutting log-core down
[09:20:53] [INFO] received Windows console close event; shutting log-core down
[10:33:08] [INFO] received Windows console close event; shutting log-core down
[12:02:12] [INFO] received Windows console close event; shutting log-core down
[12:04:57] [INFO] received Windows console close event; shutting log-core down
[12:07:21] [INFO] received Windows console close event; shutting log-core down
[13:09:39] [INFO] received Windows console close event; shutting log-core down
[15:02:51] [INFO] received Windows console close event; shutting log-core down
[16:54:50] [INFO] received Windows console close event; shutting log-core down
[17:14:36] [INFO] received Windows console close event; shutting log-core down
[17:18:10] [INFO] received Windows console close event; shutting log-core down
[17:20:12] [INFO] received Windows console close event; shutting log-core down
[18:30:14] [INFO] received Windows console close event; shutting log-core down
[18:37:57] [INFO] received Windows console close event; shutting log-core down
[18:39:27] [INFO] received Windows console close event; shutting log-core down
[18:49:39] [INFO] received Windows console close event; shutting log-core down
[18:49:53] [INFO] received Windows console close event; shutting log-core down
[06:12:21] [INFO] received Windows console close event; shutting log-core down
[06:18:54] [INFO] received Windows console close event; shutting log-core down
[06:22:25] [INFO] received Windows console close event; shutting log-core down
[06:24:58] [INFO] received Windows console close event; shutting log-core down
[06:33:16] [INFO] received Windows console close event; shutting log-core down
[06:36:56] [INFO] received Windows console close event; shutting log-core down
[06:39:18] [INFO] received Windows console close event; shutting log-core down
[06:42:16] [INFO] received Windows console close event; shutting log-core down
[06:44:29] [INFO] received Windows console close event; shutting log-core down
[10:23:12] [INFO] received Windows console close event; shutting log-core down
